nohup: les entrées sont ignorées

=== Batch indexation: 24611 tiles to process (24611 total pending) ===
    mode: EXECUTE

  [108/24611] tile (-24,82): 0 sites (0 new) — 50s elapsed, 2.2 tiles/s, ETA ~?s
  [109/24611] tile (-23,82): 0 sites (0 new) — 50s elapsed, 2.2 tiles/s, ETA ~?s
  [110/24611] tile (-22,82): 0 sites (0 new) — 51s elapsed, 2.2 tiles/s, ETA ~?s
  [111/24611] tile (-21,82): 0 sites (0 new) — 51s elapsed, 2.2 tiles/s, ETA ~?s
  [112/24611] tile (-17,82): 0 sites (0 new) — 51s elapsed, 2.2 tiles/s, ETA ~?s
  [113/24611] tile (-16,82): 0 sites (0 new) — 52s elapsed, 2.2 tiles/s, ETA ~?s
  [114/24611] tile (-96,81): 0 sites (0 new) — 52s elapsed, 2.2 tiles/s, ETA ~?s
  [115/24611] tile (-95,81): 0 sites (0 new) — 52s elapsed, 2.2 tiles/s, ETA ~?s
  [116/24611] tile (-94,81): 0 sites (0 new) — 53s elapsed, 2.2 tiles/s, ETA ~?s
  [117/24611] tile (-93,81): 0 sites (0 new) — 53s elapsed, 2.2 tiles/s, ETA ~?s
  [118/24611] tile (-92,81): 0 sites (0 new) — 54s elapsed, 2.2 tiles/s, ETA ~?s
  [119/24611] tile (-91,81): 0 sites (0 new) — 54s elapsed, 2.2 tiles/s, ETA ~?s
  [120/24611] tile (-90,81): 0 sites (0 new) — 54s elapsed, 2.2 tiles/s, ETA ~?s
  [121/24611] tile (-89,81): 0 sites (0 new) — 54s elapsed, 2.2 tiles/s, ETA ~?s
  [122/24611] tile (-88,81): 0 sites (0 new) — 55s elapsed, 2.2 tiles/s, ETA ~?s
  [123/24611] tile (-87,81): 0 sites (0 new) — 55s elapsed, 2.2 tiles/s, ETA ~?s
  [124/24611] tile (-86,81): 0 sites (0 new) — 56s elapsed, 2.2 tiles/s, ETA ~?s
  [125/24611] tile (-85,81): 0 sites (0 new) — 56s elapsed, 2.2 tiles/s, ETA ~?s
  [126/24611] tile (-84,81): 0 sites (0 new) — 57s elapsed, 2.2 tiles/s, ETA ~?s
  [127/24611] tile (-83,81): 0 sites (0 new) — 57s elapsed, 2.2 tiles/s, ETA ~?s
  [128/24611] tile (-82,81): 0 sites (0 new) — 57s elapsed, 2.2 tiles/s, ETA ~?s
  [129/24611] tile (-81,81): 0 sites (0 new) — 58s elapsed, 2.2 tiles/s, ETA ~?s
  [130/24611] tile (-80,81): 0 sites (0 new) — 58s elapsed, 2.2 tiles/s, ETA ~?s
  [131/24611] tile (-79,81): 0 sites (0 new) — 58s elapsed, 2.2 tiles/s, ETA ~?s
  [132/24611] tile (-78,81): 0 sites (0 new) — 59s elapsed, 2.2 tiles/s, ETA ~?s
  [133/24611] tile (-77,81): 1 sites (1 new) — 60s elapsed, 2.2 tiles/s, ETA ~?s
  [134/24611] tile (-76,81): 0 sites (0 new) — 60s elapsed, 2.2 tiles/s, ETA ~?s
  [135/24611] tile (-75,81): 0 sites (0 new) — 61s elapsed, 2.2 tiles/s, ETA ~?s
  [136/24611] tile (-74,81): 0 sites (0 new) — 61s elapsed, 2.2 tiles/s, ETA ~?s
  [137/24611] tile (-73,81): 0 sites (0 new) — 62s elapsed, 2.2 tiles/s, ETA ~?s
  [138/24611] tile (-72,81): 1 sites (1 new) — 62s elapsed, 2.2 tiles/s, ETA ~?s
  [139/24611] tile (-71,81): 0 sites (0 new) — 63s elapsed, 2.2 tiles/s, ETA ~?s
  [140/24611] tile (-70,81): 0 sites (0 new) — 63s elapsed, 2.2 tiles/s, ETA ~?s
  [141/24611] tile (-69,81): 0 sites (0 new) — 64s elapsed, 2.2 tiles/s, ETA ~?s
  [142/24611] tile (-68,81): 0 sites (0 new) — 64s elapsed, 2.2 tiles/s, ETA ~?s
  [143/24611] tile (-67,81): 0 sites (0 new) — 64s elapsed, 2.2 tiles/s, ETA ~?s
  [144/24611] tile (-66,81): 0 sites (0 new) — 65s elapsed, 2.2 tiles/s, ETA ~?s
  [145/24611] tile (-65,81): 1 sites (1 new) — 66s elapsed, 2.2 tiles/s, ETA ~?s
  [146/24611] tile (-64,81): 0 sites (0 new) — 66s elapsed, 2.2 tiles/s, ETA ~?s
  [147/24611] tile (-63,81): 0 sites (0 new) — 67s elapsed, 2.2 tiles/s, ETA ~?s
  [148/24611] tile (-62,81): 0 sites (0 new) — 68s elapsed, 2.2 tiles/s, ETA ~?s
  [149/24611] tile (-61,81): 0 sites (0 new) — 69s elapsed, 2.2 tiles/s, ETA ~?s
  [150/24611] tile (-60,81): 0 sites (0 new) — 70s elapsed, 2.1 tiles/s, ETA ~?s
  [151/24611] tile (-59,81): 0 sites (0 new) — 70s elapsed, 2.1 tiles/s, ETA ~?s
  [152/24611] tile (-58,81): 0 sites (0 new) — 71s elapsed, 2.2 tiles/s, ETA ~?s
  [153/24611] tile (-57,81): 0 sites (0 new) — 71s elapsed, 2.2 tiles/s, ETA ~?s
  [154/24611] tile (-56,81): 0 sites (0 new) — 71s elapsed, 2.2 tiles/s, ETA ~?s
  [155/24611] tile (-55,81): 0 sites (0 new) — 71s elapsed, 2.2 tiles/s, ETA ~?s
  [156/24611] tile (-54,81): 0 sites (0 new) — 73s elapsed, 2.1 tiles/s, ETA ~?s
  [157/24611] tile (-53,81): 0 sites (0 new) — 73s elapsed, 2.2 tiles/s, ETA ~?s
  [158/24611] tile (-52,81): 0 sites (0 new) — 73s elapsed, 2.2 tiles/s, ETA ~?s
  [159/24611] tile (-51,81): 0 sites (0 new) — 74s elapsed, 2.1 tiles/s, ETA ~?s
  [160/24611] tile (-50,81): 0 sites (0 new) — 74s elapsed, 2.2 tiles/s, ETA ~?s
  [161/24611] tile (-49,81): 0 sites (0 new) — 75s elapsed, 2.2 tiles/s, ETA ~?s
  [162/24611] tile (-48,81): 0 sites (0 new) — 75s elapsed, 2.1 tiles/s, ETA ~?s
  [163/24611] tile (-47,81): 0 sites (0 new) — 76s elapsed, 2.2 tiles/s, ETA ~?s
  [164/24611] tile (-46,81): 0 sites (0 new) — 76s elapsed, 2.2 tiles/s, ETA ~?s
